id,departure city,discount,price,no of items,location,class,segment,sub-class,delivery type,RID,profit,delivery date,address code,departure state,placement date,Profit percent,Discount percent
1286,Los Angeles,0.2,15.968,2,West,kariox,Corporate,headset,Standard Class,2062,5.3892,01-11-2018,90049,California,01-10-2018,33.75,1.25250501
1287,Cranston,0,10.16,2,East,kariox,Consumer,phone,Second Class,4205,4.7752,01-11-2018,2920,Rhode Island,01-10-2018,47,0
1288,Cranston,0,17.67,3,East,qexty,Consumer,shorts,Second Class,4208,7.7748,01-11-2018,2920,Rhode Island,01-10-2018,44,0
1289,Cranston,0,1604.9,5,East,qexty,Consumer,tshirts,Second Class,4209,481.47,01-11-2018,2920,Rhode Island,01-10-2018,30,0
1290,Cranston,0.3,385.686,1,East,qexty,Consumer,hoodies,Second Class,4210,-60.6078,01-11-2018,2920,Rhode Island,01-10-2018,-15.71428571,0.077783482
1291,Avondale,0.2,742.336,8,West,fynota,Consumer,colddrinks,Second Class,4772,83.5128,01-11-2018,85323,Arizona,01-10-2018,11.25,0.026941978
1292,Lorain,0.4,1421.664,8,East,qexty,Corporate,hoodies,Second Class,6640,-734.5264,01-11-2018,44052,Ohio,01-10-2018,-51.66666667,0.028136043
1293,San Francisco,0.2,73.584,2,West,fynota,Home Office,colddrinks,Second Class,8304,8.2782,01-11-2018,94110,California,01-10-2018,11.25,0.271798217
1294,Hialeah,0.2,15.384,1,South,qexty,Consumer,shorts,Standard Class,2695,4.0383,01-10-2018,33012,Florida,01-10-2018,26.25,1.300052002
1295,Cranston,0,14.76,2,East,qexty,Consumer,shorts,Second Class,4206,4.2804,01-11-2018,2920,Rhode Island,01-10-2018,29,0
1296,Los Angeles,0,80.3,5,West,kariox,Corporate,laptop,Standard Class,2061,20.878,01-11-2018,90049,California,01-10-2018,26,0
1297,Los Angeles,0,11.34,3,West,kariox,Corporate,lighting,Standard Class,2060,5.2164,01-11-2018,90049,California,01-10-2018,46,0
1298,Columbus,0,75.88,2,Central,kariox,Corporate,phone,Standard Class,9547,35.6636,01-11-2018,47201,Indiana,01-10-2018,47,0
1299,Rancho Cucamonga,0.2,34.272,3,West,kariox,Consumer,headset,Standard Class,3008,11.1384,01-10-2018,91730,California,01-10-2018,32.5,0.58356676
1300,Rock Hill,0,11.85,3,South,kariox,Consumer,lighting,Same Day,3745,3.792,01-10-2018,29730,South Carolina,01-10-2018,32,0
1301,San Francisco,0.2,49.408,4,West,kariox,Corporate,headset,First Class,6129,18.528,01-10-2018,94109,California,01-10-2018,37.5,0.404792746
1302,Philadelphia,0.2,40.776,3,East,fynota,Consumer,chocolates,Standard Class,7709,0.5097,01-10-2018,19120,Pennsylvania,01-10-2018,1.25,0.490484599
1303,Philadelphia,0.7,13.698,3,East,kariox,Consumer,headset,Standard Class,7710,-9.5886,01-10-2018,19120,Pennsylvania,01-10-2018,-70,5.110235071
1304,Seattle,0,63.92,4,West,qexty,Consumer,shorts,Second Class,4305,3.196,01-10-2018,98105,Washington,01-10-2018,5,0
1305,Seattle,0.2,383.96,5,West,fynota,Consumer,colddrinks,Second Class,4306,38.396,01-10-2018,98105,Washington,01-10-2018,10,0.052088759
1306,Fayetteville,0.2,10.368,2,South,kariox,Home Office,phone,Standard Class,9418,3.6288,01-11-2018,28314,North Carolina,01-10-2018,35,1.929012346
1307,Fayetteville,0.2,11.952,3,South,kariox,Home Office,phone,Standard Class,9419,4.0338,01-11-2018,28314,North Carolina,01-10-2018,33.75,1.673360107
1308,Los Angeles,0.2,7.184,2,West,kariox,Corporate,headset,First Class,3843,2.245,01-10-2018,90049,California,01-10-2018,31.25,2.783964365
1309,Los Angeles,0,6.28,2,West,kariox,Corporate,charger,First Class,3844,0.0628,01-10-2018,90049,California,01-10-2018,1,0
1310,Los Angeles,0,480.74,2,West,kariox,Corporate,charger,First Class,3845,14.4222,01-10-2018,90049,California,01-10-2018,3,0
1311,Los Angeles,0.15,616.998,6,West,qexty,Corporate,pants,First Class,3846,-36.294,01-10-2018,90049,California,01-10-2018,-5.882352941,0.024311262
1312,Los Angeles,0,141.4,5,West,kariox,Corporate,laptop,First Class,3847,38.178,01-10-2018,90049,California,01-10-2018,27,0
1313,Garden City,0,257.98,2,Central,fynota,Corporate,colddrinks,Standard Class,7371,74.8142,01-11-2018,67846,Kansas,01-10-2018,29,0
1314,Chicago,0.2,2735.952,6,Central,fynota,Consumer,colddrinks,First Class,488,341.994,01-10-2018,60610,Illinois,01-10-2018,12.5,0.00731007
1315,Columbus,0,1.98,2,Central,fynota,Corporate,chocolates,Standard Class,9546,0.891,01-11-2018,47201,Indiana,01-10-2018,45,0
1316,Bossier City,0,129.92,4,South,qexty,Corporate,shorts,Standard Class,7665,10.3936,01-10-2018,71111,Louisiana,01-10-2018,8,0
1317,Everett,0,1628.82,9,East,qexty,Consumer,tshirts,First Class,9636,260.6112,01-10-2018,2149,Massachusetts,01-10-2018,16,0
1318,Tempe,0.2,12.768,6,West,kariox,Corporate,watch,First Class,3226,4.6284,01-10-2018,85281,Arizona,01-10-2018,36.25,1.56641604
1319,Everett,0,177,3,East,fynota,Consumer,chocolates,First Class,9634,30.09,01-10-2018,2149,Massachusetts,01-10-2018,17,0
1320,Vallejo,0,14.45,5,West,kariox,Consumer,tablet,Standard Class,2724,6.7915,01-10-2018,94591,California,01-10-2018,47,0
1321,Vallejo,0.2,95.648,2,West,kariox,Consumer,headset,Standard Class,2725,31.0856,01-10-2018,94591,California,01-10-2018,32.5,0.209100033
1322,Seattle,0,29.24,4,West,kariox,Consumer,tablet,Standard Class,4948,13.7428,01-10-2018,98115,Washington,01-10-2018,47,0
1323,New York City,0.1,589.41,5,East,qexty,Consumer,tshirts,First Class,6440,-6.549,01-10-2018,10024,New York,01-10-2018,-1.111111111,0.016966119
1324,Columbus,0.2,91.92,5,East,kariox,Consumer,battery,Second Class,6020,11.49,01-10-2018,43229,Ohio,01-10-2018,12.5,0.217580505
1325,Pomona,0,99.98,2,West,fynota,Consumer,chocolates,First Class,6805,34.993,01-10-2018,91767,California,01-10-2018,35,0
1326,San Diego,0,9.09,3,West,fynota,Consumer,chocolates,Standard Class,482,1.9089,01-10-2018,92024,California,01-10-2018,21,0
1327,Dallas,0.2,15.072,4,Central,kariox,Consumer,lighting,Standard Class,8222,-3.768,01-10-2018,75217,Texas,01-10-2018,-25,1.326963907
1328,Omaha,0,15.36,2,Central,kariox,Corporate,headset,Second Class,5418,7.68,01-10-2018,68104,Nebraska,01-10-2018,50,0
1329,Indianapolis,0,386.34,2,Central,kariox,Corporate,laptop,First Class,8830,54.0876,01-10-2018,46203,Indiana,01-10-2018,14,0
1330,Philadelphia,0.2,129.92,5,East,qexty,Home Office,shorts,Standard Class,724,21.112,01-10-2018,19140,Pennsylvania,01-10-2018,16.25,0.153940887
1331,Dallas,0.2,107.44,10,Central,kariox,Corporate,laptop,Standard Class,3827,10.744,01-10-2018,75217,Texas,01-10-2018,10,0.18615041
1332,Charlotte,0.2,23.472,3,South,fynota,Consumer,chocolates,Same Day,7677,4.9878,01-10-2018,28205,North Carolina,01-10-2018,21.25,0.852079073
1333,New York City,0,123.92,4,East,kariox,Consumer,phone,Second Class,8853,55.764,01-10-2018,10011,New York,01-10-2018,45,0
1334,Jacksonville,0.2,88.768,2,South,kariox,Corporate,phone,Standard Class,7153,31.0688,01-10-2018,28540,North Carolina,01-10-2018,35,0.225306417
1335,San Francisco,0,144.6,3,West,kariox,Consumer,television,Standard Class,9459,41.934,01-10-2018,94122,California,01-10-2018,29,0
1336,Philadelphia,0.2,83.92,5,East,kariox,Consumer,laptop,Standard Class,6356,-13.637,01-10-2018,19120,Pennsylvania,01-10-2018,-16.25,0.238322212
1337,San Francisco,0.2,15.992,1,West,fynota,Consumer,colddrinks,Standard Class,9460,-2.9985,01-10-2018,94122,California,01-10-2018,-18.75,1.250625313
1338,Dallas,0.8,1.788,3,Central,kariox,Consumer,headset,Standard Class,8221,-3.0396,01-10-2018,75217,Texas,01-10-2018,-170,44.74272931
1339,Dallas,0.6,31.776,3,Central,qexty,Consumer,shorts,Standard Class,8219,-19.0656,01-10-2018,75217,Texas,01-10-2018,-60,1.888217523
1340,Tempe,0.2,9.408,2,West,kariox,Corporate,phone,First Class,3223,3.4104,01-10-2018,85281,Arizona,01-10-2018,36.25,2.12585034
1341,Tempe,0.2,4.672,2,West,kariox,Corporate,lighting,First Class,3224,1.46,01-10-2018,85281,Arizona,01-10-2018,31.25,4.280821918
1342,Tempe,0.2,318.4,2,West,fynota,Corporate,colddrinks,First Class,3225,107.46,01-10-2018,85281,Arizona,01-10-2018,33.75,0.06281407
1343,Everett,0,79.45,7,East,kariox,Consumer,laptop,First Class,9635,22.246,01-10-2018,2149,Massachusetts,01-10-2018,28,0
1344,Tempe,0.2,15.36,2,West,kariox,Corporate,charger,First Class,3227,-3.264,01-10-2018,85281,Arizona,01-10-2018,-21.25,1.302083333
1345,Tempe,0.2,230.376,3,West,fynota,Corporate,colddrinks,First Class,3228,20.1579,01-10-2018,85281,Arizona,01-10-2018,8.75,0.086814599
1346,Tempe,0.2,7.16,1,West,fynota,Corporate,chocolates,First Class,3229,-0.0895,01-10-2018,85281,Arizona,01-10-2018,-1.25,2.793296089
1347,Dallas,0.2,4.928,2,Central,kariox,Consumer,tablet,Standard Class,8220,1.7248,01-10-2018,75217,Texas,01-10-2018,35,4.058441558
1348,Evanston,0.3,258.279,3,Central,qexty,Consumer,tshirts,Second Class,1351,-70.1043,01-10-2018,60201,Illinois,01-10-2018,-27.14285714,0.116153462
1349,Los Angeles,0.2,122.352,3,West,qexty,Corporate,tshirts,Second Class,2276,13.7646,01-10-2018,90036,California,01-10-2018,11.25,0.163462796
1350,Durham,0.2,61.568,2,South,kariox,Home Office,laptop,Standard Class,4877,4.6176,01-10-2018,27707,North Carolina,01-10-2018,7.5,0.324844075
1351,Durham,0.2,6.192,3,South,kariox,Home Office,television,Standard Class,4878,0.4644,01-10-2018,27707,North Carolina,01-10-2018,7.5,3.22997416
1352,Columbus,0.2,55.984,2,East,kariox,Consumer,television,Same Day,5600,4.1988,01-10-2018,43229,Ohio,01-10-2018,7.5,0.357244927
1353,Columbus,0.2,14.48,5,East,kariox,Consumer,watch,Same Day,5601,4.887,01-10-2018,43229,Ohio,01-10-2018,33.75,1.38121547
1354,Columbus,0.2,142.488,3,East,fynota,Consumer,chocolates,Same Day,5602,-3.5622,01-10-2018,43229,Ohio,01-10-2018,-2.5,0.140362697
1355,Dallas,0.2,4.344,3,Central,kariox,Consumer,lighting,Standard Class,8218,0.8688,01-10-2018,75217,Texas,01-10-2018,20,4.604051565
1356,Los Angeles,0.2,143.432,1,West,qexty,Corporate,hoodies,Second Class,2275,3.5858,01-10-2018,90036,California,01-10-2018,2.5,0.139438898
1357,Manteca,0.2,122.352,3,West,qexty,Home Office,tshirts,Same Day,4533,13.7646,01-10-2018,95336,California,01-10-2018,11.25,0.163462796
1358,Reno,0,4.71,1,West,kariox,Home Office,lighting,Standard Class,8706,0,01-10-2018,89502,Nevada,01-10-2018,0,0
1359,Phoenix,0.2,46.872,7,West,qexty,Home Office,shorts,Standard Class,6679,3.5154,01-10-2018,85023,Arizona,01-10-2018,7.5,0.426693975
1360,Edmonds,0,213.92,4,West,kariox,Consumer,battery,First Class,812,62.0368,01-10-2018,98026,Washington,01-10-2018,29,0
1361,Edmonds,0,25.78,2,West,fynota,Consumer,chocolates,First Class,813,2.578,01-10-2018,98026,Washington,01-10-2018,10,0
1362,Lakewood,0,245.98,2,East,qexty,Corporate,tshirts,Second Class,5592,27.0578,01-10-2018,8701,New Jersey,01-10-2018,11,0
1363,Lakewood,0,18.94,1,East,kariox,Corporate,headset,Second Class,5593,9.47,01-10-2018,8701,New Jersey,01-10-2018,50,0
1364,Mount Vernon,0.2,7.752,3,East,kariox,Corporate,headset,Standard Class,6322,2.8101,01-10-2018,10550,New York,01-10-2018,36.25,2.57997936
1365,Manteca,0,15.28,2,West,kariox,Home Office,watch,Same Day,4534,7.4872,01-10-2018,95336,California,01-10-2018,49,0
1366,Richmond,0,22.96,2,South,fynota,Home Office,chocolates,First Class,9112,4.3624,01-10-2018,23223,Virginia,01-10-2018,19,0
1367,Edmonds,0,1298.55,5,West,qexty,Consumer,hoodies,First Class,811,311.652,01-10-2018,98026,Washington,01-10-2018,24,0
1368,Richmond,0,315.2,4,South,kariox,Home Office,laptop,First Class,9113,6.304,01-10-2018,23223,Virginia,01-10-2018,2,0
1369,Concord,0,22.92,4,East,kariox,Corporate,headset,Second Class,4906,11.0016,01-10-2018,3301,New Hampshire,01-10-2018,48,0
1370,Concord,0,269.9,5,East,kariox,Corporate,laptop,Second Class,4907,16.194,01-10-2018,3301,New Hampshire,01-10-2018,6,0
1371,Fort Worth,0.8,3.16,4,Central,kariox,Consumer,battery,Standard Class,5756,-8.532,01-10-2018,76106,Texas,01-10-2018,-270,25.3164557
1372,Fort Worth,0.2,1999.96,5,Central,fynota,Consumer,fastfood,Standard Class,5757,624.9875,01-10-2018,76106,Texas,01-10-2018,31.25,0.0100002
1373,Chicago,0.2,322.192,13,Central,kariox,Consumer,phone,Standard Class,9064,100.685,01-10-2018,60653,Illinois,01-10-2018,31.25,0.062074788
1374,Chicago,0.8,2.946,3,Central,kariox,Consumer,headset,Standard Class,9065,-4.8609,01-10-2018,60653,Illinois,01-10-2018,-165,27.15546504
1375,Chicago,0.2,19.136,4,Central,kariox,Consumer,phone,Standard Class,9066,6.9368,01-10-2018,60653,Illinois,01-10-2018,36.25,1.045150502
1376,Richmond,0,15.18,3,South,kariox,Home Office,headset,First Class,9114,7.1346,01-10-2018,23223,Virginia,01-10-2018,47,0
1377,Edmonds,0,11.52,4,West,kariox,Consumer,television,First Class,810,3.2256,01-10-2018,98026,Washington,01-10-2018,28,0
1378,Richmond,0,36.4,5,South,kariox,Home Office,watch,First Class,9111,17.472,01-10-2018,23223,Virginia,01-10-2018,48,0
1379,San Francisco,0,21.39,1,West,kariox,Consumer,laptop,Standard Class,83,6.2031,01-10-2018,94122,California,01-10-2018,29,0
1380,Chicago,0.2,22.24,2,Central,kariox,Corporate,charger,Standard Class,9440,2.502,01-10-2018,60623,Illinois,01-10-2018,11.25,0.899280576
1381,Huntsville,0.2,755.944,7,Central,fynota,Corporate,colddrinks,Standard Class,7547,66.1451,01-10-2018,77340,Texas,01-10-2018,8.75,0.026456986
1382,Huntsville,0.8,11.98,5,Central,kariox,Corporate,headset,Standard Class,7548,-19.168,01-10-2018,77340,Texas,01-10-2018,-160,6.677796327
1383,Huntsville,0.8,0.898,1,Central,kariox,Corporate,headset,Standard Class,7549,-1.5715,01-10-2018,77340,Texas,01-10-2018,-175,89.08685969
1384,Columbus,0.7,101.994,2,East,fynota,Consumer,sweets,Same Day,8873,-71.3958,01-10-2018,43229,Ohio,01-10-2018,-70,0.686314881
1385,Columbus,0.7,18.264,2,East,kariox,Consumer,headset,Same Day,8874,-13.3936,01-10-2018,43229,Ohio,01-10-2018,-73.33333333,3.832676303
1386,Albuquerque,0,255.85,7,West,kariox,Corporate,television,Same Day,9275,112.574,01-10-2018,87105,New Mexico,01-10-2018,44,0
1387,Philadelphia,0.2,281.904,2,East,kariox,Consumer,laptop,Standard Class,3266,10.5714,01-10-2018,19120,Pennsylvania,01-10-2018,3.75,0.070946138
1388,Huntsville,0.2,719.952,6,Central,fynota,Corporate,colddrinks,Standard Class,7546,71.9952,01-10-2018,77340,Texas,01-10-2018,10,0.02777963
1389,Seattle,0,63.47,11,West,qexty,Home Office,shorts,Standard Class,4001,19.041,01-10-2018,98115,Washington,01-10-2018,30,0
1390,Seattle,0,345,5,West,fynota,Home Office,chocolates,Standard Class,4002,58.65,01-10-2018,98115,Washington,01-10-2018,17,0
1391,Pasadena,0,31.92,4,West,kariox,Consumer,laptop,First Class,4168,8.2992,01-10-2018,91104,California,01-10-2018,26,0
1392,Pasadena,0.2,433.568,2,West,qexty,Consumer,tshirts,First Class,4169,-65.0352,01-10-2018,91104,California,01-10-2018,-15,0.046128866
1393,Fayetteville,0,7.31,1,South,kariox,Corporate,tablet,Standard Class,5928,3.4357,01-10-2018,72701,Arkansas,01-10-2018,47,0
1394,Fayetteville,0,8.92,4,South,qexty,Corporate,shorts,Standard Class,5929,3.9248,01-10-2018,72701,Arkansas,01-10-2018,44,0
1395,Redondo Beach,0,7.64,1,West,kariox,Consumer,watch,Standard Class,6215,3.7436,01-10-2018,90278,California,01-10-2018,49,0
1396,San Francisco,0,14.9,5,West,kariox,Consumer,television,Standard Class,82,4.172,01-10-2018,94122,California,01-10-2018,28,0
1397,Philadelphia,0.2,201.432,3,East,kariox,Consumer,watch,Standard Class,3267,67.9833,01-10-2018,19120,Pennsylvania,01-10-2018,33.75,0.09928909
1398,Richmond,0,629.1,6,South,kariox,Corporate,phone,Standard Class,3400,301.968,01-11-2018,40475,Kentucky,01-11-2018,48,0
1399,Richmond,0,36.99,1,South,fynota,Corporate,colddrinks,Standard Class,3399,9.9873,01-11-2018,40475,Kentucky,01-11-2018,27,0
1400,New York City,0,25.92,4,East,kariox,Corporate,phone,Standard Class,7554,12.4416,01-11-2018,10024,New York,01-11-2018,48,0
1401,New York City,0.2,12.96,3,East,kariox,Corporate,headset,Standard Class,7553,4.536,01-11-2018,10024,New York,01-11-2018,35,1.543209877
1402,New York City,0,833.94,6,East,fynota,Corporate,colddrinks,Standard Class,7552,216.8244,01-11-2018,10024,New York,01-11-2018,26,0
1403,New York City,0,34.74,3,East,kariox,Corporate,watch,Standard Class,7551,17.37,01-11-2018,10024,New York,01-11-2018,50,0
1404,Philadelphia,0.2,5.88,1,East,kariox,Home Office,phone,Second Class,9736,1.9845,01-11-2018,19134,Pennsylvania,01-11-2018,33.75,3.401360544
1405,Wilmington,0,1025.88,6,East,qexty,Corporate,pants,Standard Class,5395,235.9524,01-11-2018,19805,Delaware,01-11-2018,23,0
1406,Coon Rapids,0,221.16,4,Central,kariox,Consumer,laptop,Standard Class,9648,57.5016,01-11-2018,55433,Minnesota,01-11-2018,26,0
1407,Philadelphia,0.2,47.496,1,East,fynota,Consumer,chocolates,First Class,8973,-1.1874,01-11-2018,19120,Pennsylvania,01-11-2018,-2.5,0.421088092
1408,Salt Lake City,0,166.44,3,West,kariox,Home Office,phone,Second Class,7868,79.8912,01-11-2018,84106,Utah,01-11-2018,48,0
1409,Wilmington,0,213.08,7,East,kariox,Corporate,headset,Standard Class,5394,102.2784,01-11-2018,19805,Delaware,01-11-2018,48,0
1410,Wilmington,0,9.96,2,East,kariox,Corporate,tablet,Standard Class,5393,4.5816,01-11-2018,19805,Delaware,01-11-2018,46,0
1411,Wilmington,0,22.5,6,East,kariox,Corporate,tablet,Standard Class,5392,10.8,01-11-2018,19805,Delaware,01-11-2018,48,0
1412,Jamestown,0,4548.81,7,East,fynota,Consumer,colddrinks,Standard Class,2493,1228.1787,01-11-2018,14701,New York,01-11-2018,27,0
1413,Coon Rapids,0,281.97,3,Central,fynota,Consumer,colddrinks,Standard Class,9649,78.9516,01-11-2018,55433,Minnesota,01-11-2018,28,0
1414,Richmond,0,193.95,3,South,kariox,Corporate,laptop,Standard Class,3401,9.6975,01-11-2018,40475,Kentucky,01-11-2018,5,0
1415,Houston,0.2,23.68,2,Central,kariox,Home Office,tablet,Standard Class,2084,8.88,01-11-2018,77036,Texas,01-11-2018,37.5,0.844594595
1416,San Francisco,0,12.96,2,West,kariox,Corporate,phone,Standard Class,4499,6.2208,01-11-2018,94110,California,01-11-2018,48,0
1417,Monroe,0,29,2,South,fynota,Home Office,chocolates,Second Class,185,7.25,01-11-2018,71203,Louisiana,01-11-2018,25,0
1418,Los Angeles,0.2,381.44,2,West,qexty,Consumer,tshirts,First Class,1574,23.84,01-11-2018,90004,California,01-11-2018,6.25,0.052432886
1419,Los Angeles,0,29.99,1,West,fynota,Consumer,chocolates,First Class,1573,6.2979,01-11-2018,90004,California,01-11-2018,21,0
1420,Los Angeles,0,21.84,3,West,kariox,Consumer,watch,First Class,1572,10.4832,01-11-2018,90004,California,01-11-2018,48,0
1421,Los Angeles,0.2,603.92,5,West,qexty,Consumer,tshirts,First Class,1571,-67.941,01-11-2018,90004,California,01-11-2018,-11.25,0.033116969
1422,Atlanta,0,9.96,2,South,kariox,Corporate,phone,First Class,6806,4.8804,01-11-2018,30318,Georgia,01-11-2018,49,0
1423,Los Angeles,0,53.82,9,West,kariox,Consumer,phone,Standard Class,3971,24.219,01-11-2018,90036,California,01-11-2018,45,0
1424,Bolingbrook,0.8,9.98,5,Central,kariox,Home Office,headset,Standard Class,3895,-16.467,01-11-2018,60440,Illinois,01-11-2018,-165,8.016032064
1425,Pasadena,0.8,6.928,1,Central,kariox,Consumer,headset,First Class,3394,-11.0848,01-11-2018,77506,Texas,01-11-2018,-160,11.54734411
1426,Columbus,0,675.12,3,South,kariox,Corporate,battery,Standard Class,2578,290.3016,01-11-2018,31907,Georgia,01-11-2018,43,0
1427,Columbus,0,11.36,2,South,kariox,Corporate,watch,Standard Class,2577,5.3392,01-11-2018,31907,Georgia,01-11-2018,47,0
1428,Columbus,0,319.9,5,South,kariox,Corporate,headset,Standard Class,2576,156.751,01-11-2018,31907,Georgia,01-11-2018,49,0
1429,Columbus,0,16.23,3,South,kariox,Corporate,watch,Standard Class,2575,7.9527,01-11-2018,31907,Georgia,01-11-2018,49,0
1430,San Francisco,0,94.99,1,West,fynota,Home Office,chocolates,Standard Class,7741,28.497,01-11-2018,94110,California,01-11-2018,30,0
1431,San Francisco,0,6.58,2,West,kariox,Home Office,phone,Standard Class,7740,3.0268,01-11-2018,94110,California,01-11-2018,46,0
1432,Dallas,0.2,267.96,5,Central,fynota,Corporate,colddrinks,Standard Class,5344,16.7475,01-11-2018,75220,Texas,01-11-2018,6.25,0.074638006
1433,Dallas,0.2,1.632,1,Central,kariox,Corporate,watch,Standard Class,5343,0.5508,01-11-2018,75220,Texas,01-11-2018,33.75,12.25490196
1434,Richmond,0,5.46,3,South,kariox,Corporate,television,Standard Class,3402,1.4742,01-11-2018,40475,Kentucky,01-11-2018,27,0
1435,Monroe,0,149.95,5,South,fynota,Home Office,colddrinks,Second Class,184,41.986,01-11-2018,71203,Louisiana,01-11-2018,28,0
1436,Louisville,0.2,35.808,4,West,kariox,Consumer,phone,Second Class,2439,12.5328,01-11-2018,80027,Colorado,01-11-2018,35,0.558534406
1437,Seattle,0,730.2,4,West,qexty,Corporate,hoodies,Standard Class,9638,94.926,01-11-2018,98105,Washington,01-11-2018,13,0
1438,Cedar Hill,0.2,7.08,3,Central,kariox,Consumer,watch,Standard Class,6023,2.478,01-11-2018,75104,Texas,01-11-2018,35,2.824858757
1439,Philadelphia,0.3,657.93,5,East,qexty,Consumer,tshirts,Standard Class,3603,-93.99,01-11-2018,19143,Pennsylvania,01-11-2018,-14.28571429,0.045597556
1440,Philadelphia,0.2,12.448,2,East,kariox,Consumer,phone,Standard Class,3602,3.89,01-11-2018,19143,Pennsylvania,01-11-2018,31.25,1.606683805
1441,San Francisco,0,241.44,3,West,kariox,Corporate,battery,First Class,3264,72.432,01-11-2018,94109,California,01-11-2018,30,0
1442,San Francisco,0,733.95,7,West,kariox,Corporate,phone,First Class,3263,352.296,01-11-2018,94109,California,01-11-2018,48,0
1443,San Francisco,0,99.98,2,West,fynota,Corporate,chocolates,First Class,3262,7.9984,01-11-2018,94109,California,01-11-2018,8,0
1444,Newark,0,57.75,5,East,kariox,Corporate,television,Standard Class,3073,26.565,01-11-2018,19711,Delaware,01-11-2018,46,0
1445,Buffalo,0.2,2152.776,3,East,kariox,Consumer,headset,Standard Class,6535,726.5619,01-11-2018,14215,New York,01-11-2018,33.75,0.00929033
1446,Newark,0,124.41,3,East,qexty,Corporate,shorts,Standard Class,3072,14.9292,01-11-2018,19711,Delaware,01-11-2018,12,0
1447,Moorhead,0,479.9,5,Central,qexty,Home Office,tshirts,Standard Class,2093,81.583,01-11-2018,56560,Minnesota,01-11-2018,17,0
1448,Los Angeles,0,344.91,3,West,kariox,Corporate,laptop,First Class,8711,10.3473,01-11-2018,90008,California,01-11-2018,3,0
1449,Los Angeles,0.15,305.9745,3,West,qexty,Corporate,pants,First Class,8710,25.1979,01-11-2018,90008,California,01-11-2018,8.235294118,0.049023693
1450,Los Angeles,0.2,79.968,4,West,fynota,Corporate,colddrinks,First Class,8709,-17.9928,01-11-2018,90008,California,01-11-2018,-22.5,0.25010004
1451,Decatur,0.3,37.296,2,Central,qexty,Consumer,tshirts,Standard Class,5304,-1.0656,01-11-2018,62521,Illinois,01-11-2018,-2.857142857,0.804375804
1452,Huntington Beach,0,5.22,2,West,kariox,Corporate,tablet,Standard Class,4983,2.4012,01-11-2018,92646,California,01-11-2018,46,0
1453,Mesquite,0.6,6.368,2,Central,qexty,Corporate,shorts,Standard Class,3708,-2.5472,01-11-2018,75150,Texas,01-11-2018,-40,9.422110553
1454,Newark,0,2934.33,7,East,kariox,Corporate,laptop,Standard Class,3071,792.2691,01-11-2018,19711,Delaware,01-11-2018,27,0
1455,Monroe,0,503.96,4,South,fynota,Home Office,colddrinks,Second Class,183,131.0296,01-11-2018,71203,Louisiana,01-11-2018,26,0
1456,Buffalo,0.2,4007.84,10,East,qexty,Consumer,pants,Standard Class,6536,-50.098,01-11-2018,14215,New York,01-11-2018,-1.25,0.004990219
1457,Louisville,0.5,145.98,2,West,qexty,Consumer,hoodies,Second Class,2438,-99.2664,01-11-2018,80027,Colorado,01-11-2018,-68,0.342512673
1458,Seattle,0,137.54,2,West,qexty,Corporate,shorts,Standard Class,9637,55.016,01-11-2018,98105,Washington,01-11-2018,40,0
1459,Franklin,0,392.94,3,Central,qexty,Corporate,tshirts,Standard Class,9285,43.2234,01-11-2018,53132,Wisconsin,01-11-2018,11,0
1460,Minneapolis,0,67.15,5,Central,kariox,Corporate,laptop,Second Class,8844,16.7875,01-11-2018,55407,Minnesota,01-11-2018,25,0
1461,Des Plaines,0.2,381.72,5,Central,kariox,Consumer,laptop,First Class,7303,-66.801,01-11-2018,60016,Illinois,01-11-2018,-17.5,0.052394425
1462,Des Plaines,0.8,2.892,3,Central,kariox,Consumer,headset,First Class,7302,-4.9164,01-11-2018,60016,Illinois,01-11-2018,-170,27.66251729
1463,Des Plaines,0.3,424.116,6,Central,qexty,Consumer,pants,First Class,7301,-30.294,01-11-2018,60016,Illinois,01-11-2018,-7.142857143,0.070735365
1464,Des Plaines,0.6,8.544,2,Central,qexty,Consumer,shorts,First Class,7300,-7.476,01-11-2018,60016,Illinois,01-11-2018,-87.5,7.02247191
1465,New York City,0,34.44,3,East,kariox,Home Office,phone,Second Class,9461,17.22,01-11-2018,10024,New York,01-11-2018,50,0
1466,Des Plaines,0.5,292.1,4,Central,qexty,Consumer,hoodies,First Class,7299,-175.26,01-11-2018,60016,Illinois,01-11-2018,-60,0.171174255
1467,Fairfield,0.7,11.808,8,East,kariox,Consumer,headset,Second Class,4908,-8.6592,01-11-2018,45014,Ohio,01-11-2018,-73.33333333,5.928184282
1468,Chicago,0.8,14.48,5,Central,kariox,Corporate,headset,Standard Class,4131,-23.892,01-11-2018,60623,Illinois,01-11-2018,-165,5.524861878
1469,Philadelphia,0.7,1.944,3,East,kariox,Consumer,headset,Standard Class,3304,-1.4256,01-11-2018,19140,Pennsylvania,01-11-2018,-73.33333333,36.00823045
1470,Philadelphia,0.2,60.312,3,East,qexty,Consumer,shorts,Standard Class,3303,5.2773,01-11-2018,19140,Pennsylvania,01-11-2018,8.75,0.331608967
1471,Philadelphia,0.4,539.964,6,East,fynota,Consumer,colddrinks,Standard Class,3302,-107.9928,01-11-2018,19140,Pennsylvania,01-11-2018,-20,0.074079013
